,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
139,Diaľnica,D00001,159.5,M9211,2004.0,-1,Neznámy,18.3397,49.067957,2021
140,Diaľnica,D00001,295,M9641,2013.0,-1,Neznámy,20.53686,49.00227,2021
141,Diaľnica,D00003,,M9871,2020.0,-1,Neznámy,18.79663,49.43991,2021
142,Diaľnica,D00003,D3-078,M9731,2016.0,-1,Neznámy,18.84,49.512,2021
143,Diaľnica,D00003,D3-079,M9726,2016.0,-1,Neznámy,18.87228,49.51335,2021
144,Diaľnica,D00001,D1-175,M9594,2010.0,-1,Neznámy,18.41453,49.10291,2021
145,Cesta I. triedy,20,D1-442,M9855,2019.0,-1,Neznámy,21.3093,48.78803,2021
146,Diaľnica,D00001,284,M4125,2008.0,-1,Neznámy,20.406564732,49.037322574,2021
147,Diaľnica,D00001,174,M9260,2010.0,-1,Neznámy,18.417094,49.097352,2021
148,Diaľnica,D00003,18,M215,2007.0,-1,Neznámy,18.677677534,49.254308435,2021
149,Diaľnica,D00001,235,M9736,2015.0,-1,Neznámy,19.05022,49.10628,2021
150,Diaľnica,D00001,276,M3836,2008.0,-1,Neznámy,20.316224369,49.074067997,2021
151,Diaľnica,D00001,232,M9749,2014.0,-1,Neznámy,19.03668,49.1013,2021
152,Diaľnica,D00001,236,M9739,2015.0,-1,Neznámy,19.06697,49.12048,2021
153,Diaľnica,D00001,237,M9762,2014.0,-1,Neznámy,19.06723,49.12415,2021
154,Diaľnica,D00001,238,M9763,2015.0,-1,Neznámy,19.07105,49.13211,2021
155,Diaľnica,D00001,222,M9738,2015.0,-1,Neznámy,18.94624,49.11266,2021
156,Diaľnica,D00001,277,M9448,2008.0,-1,Neznámy,20.325478,49.071784,2021
157,Diaľnica,D00003,20,M2839,2007.0,-1,Neznámy,18.687081884,49.245309088,2021
158,Diaľnica,D00003,26,M9785,2017.0,-1,Neznámy,18.73974,49.24423,2021
159,Cesta III. triedy,2137,3,M9901,2015.0,-1,Neznámy,18.95139,49.09713,2021
160,Diaľnica,D00003,,M9872,2020.0,-1,Neznámy,18.79069,49.44028,2021
161,Diaľnica,D00001,231,M9751,2015.0,-1,Neznámy,19.02066,49.10028,2021
162,Diaľnica,D00001,172,M9239,2010.0,-1,Neznámy,18.418863,49.092651,2021
163,Diaľnica,D00001,272,M6623,2008.0,-1,Neznámy,20.265529573,49.066760333,2021
164,Diaľnica,D00003,,M9876,2020.0,-1,Neznámy,18.77985,49.45585,2021
165,Diaľnica,D00001,270,M9447,2009.0,-1,Neznámy,20.196356,49.064767,2021
166,Diaľnica,D00001,276,M5940,1000.0,-1,Neznámy,20.378597498,49.047193156,2021
167,Diaľnica,D00003,17,M222,1800.0,-1,Neznámy,18.668764873,49.255136542,2021
168,Diaľnica,D00003,,M9883,2020.0,-1,Neznámy,18.7802,49.4707,2021
169,Diaľnica,D00001,262,M6368,2007.0,-1,Neznámy,20.118169145,49.072069856,2021
170,Diaľnica,D00001,258,M5694,2007.0,-1,Neznámy,20.083780009,49.064183088,2021
171,Diaľnica,D00003,,M9884,2020.0,-1,Neznámy,18.78391,49.47882,2021
172,Diaľnica,D00001,207,M3949,1976.0,-1,Neznámy,19.503814131,49.088283055,2021
173,Diaľnica,D00001,159.4,M2034,2004.0,-1,Neznámy,18.341148029,49.064155968,2021
174,Diaľnica,D00001,275,M6547,1000.0,-1,Neznámy,20.367647051,49.050802269,2021
175,Diaľnica,D00003,25,M9784,2017.0,-1,Neznámy,18.70224,49.24183,2021
176,Diaľnica,D00001,176,M9249,2010.0,-1,Neznámy,18.415892,49.106878,2021
177,Diaľnica,D00003,23,M5639,2007.0,-1,Neznámy,18.691306761,49.241608259,2021
178,Diaľnica,D00001,221,M9737,2014.0,-1,Neznámy,18.92418,49.12282,2021
179,Diaľnica,D00001,D1-178.3,M9619,2010.0,-1,Neznámy,18.44695,49.1255,2021
180,Diaľnica,D00001,D1-178.7,M9657,2010.0,-1,Neznámy,18.44027,49.12142,2021
181,Diaľnica,D00001,D1-178.4,M9651,2010.0,-1,Neznámy,18.4454,49.1248,2021
182,Diaľnica,D00001,220 M,M9655,2014.0,-1,Neznámy,18.9169,49.12532,2021
183,Diaľnica,D00003,D3-088,M9778,2012.0,-1,Neznámy,18.9551,49.50448,2021
184,Cesta III. triedy,2090,,M9895,2017.0,-1,Neznámy,18.66346,49.25647,2021
185,Diaľnica,D00001,181.1,M9267,2010.0,-1,Neznámy,18.472525,49.1591,2021
186,Diaľnica,D00004,133,M9421,1998.0,-1,Neznámy,17.101427,48.071935,2021
187,Diaľnica,D00001,293,M9643,2015.0,-1,Neznámy,20.5206,49.00056,2021
188,Diaľnica,D00001,219 M,M9654,2014.0,-1,Neznámy,18.91062,49.12904,2021
189,Diaľnica,D00001,218 M,M9652,2014.0,-1,Neznámy,18.90329,49.13165,2021
190,Diaľnica,D00003,D3-087,M9777,2012.0,-1,Neznámy,18.94785,49.50437,2021
191,Diaľnica,D00001,,M1968,1000.0,-1,Neznámy,18.558039557,49.213270302,2021
192,Diaľnica,R00002,37,M9705,2016.0,-1,Neznámy,18.22024,48.74463,2021
193,Diaľnica,R00002,39,M9706,2016.0,-1,Neznámy,18.22167,48.74231,2021
194,Diaľnica,D00001,217,M9765,2015.0,-1,Neznámy,18.89648,49.13374,2021
195,Diaľnica,R00002,43,M9707,2016.0,-1,Neznámy,18.22167,48.74231,2021
196,Diaľnica,R00002,45,M9708,2016.0,-1,Neznámy,18.23175,48.71828,2021
197,Diaľnica,D00004,,M9867,2020.0,-1,Neznámy,17.24157,48.11405,2021
198,Diaľnica,R00002,49,M9709,2016.0,-1,Neznámy,18.2343,48.70682,2021
